BASE_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,BRDCST_TY_NM,GENRE_LCLAS_NM,GENRE_MLSFC_NM,HLDY_AT,AVRG_WTCHNG_CO,AVRG_WTCHNG_TIME_CO,DAWN_AVRG_WTCHNG_TIME_CO,AM_AVRG_WTCHNG_TIME_CO,PM_AVRG_WTCHNG_TIME_CO,EVENING_AVRG_WTCHNG_TIME_CO,AVRG_VOD_PRCHS_PRICE
202011,대구,동구,신천4동,VOD,방송,시사교양,N,8,373,341,224,168,138,
202011,경남,창원시 성산구,웅남동,LINEAR_TV,스포츠,기타,N,14,93,37,50,47,57,
202011,대전,서구,둔산1동,LINEAR_TV,시사/교양,기타,N,73,646,94,261,183,261,
202011,경남,양산시,원동면,LINEAR_TV,연예/오락,쇼,Y,26,297,45,87,106,181,
202011,경기,파주시,적성면,LINEAR_TV,라이프,리빙,N,2,6,0,0,5,9,
202011,대전,유성구,진잠동,LINEAR_TV,라이프,리빙,Y,2,3,5,1,2,2,
202011,서울,성동구,금호2.3가동,LINEAR_TV,영화,기타,Y,3,11,12,5,5,11,
202011,경기,수원시 영통구,영통2동,VOD,해외시리즈,중국,N,25,857,810,630,462,467,
202011,전남,곡성군,입면,LINEAR_TV,TV 애니메이션,추리/미스터리,Y,4,29,,,17,26,
202011,대전,대덕구,신탄진동,LINEAR_TV,홈쇼핑,가정/주방/생활용품,Y,5,9,3,5,5,4,
202011,경북,경산시,압량읍,LINEAR_TV,홈쇼핑,보석/시계,N,2,3,0,3,2,1,
202011,경북,경산시,진량읍,LINEAR_TV,라이프,리빙,N,2,4,1,5,4,2,
202011,경기,안양시 동안구,부림동,VOD,애니,액션/모험,Y,5,119,182,96,122,40,
202011,서울,도봉구,도봉2동,VOD,키즈,노래율동,Y,46,177,44,89,84,177,
202011,서울,강남구,청담동,VOD,키즈,TV만화,N,35,286,206,138,190,136,
202011,대구,남구,대명5동,LINEAR_TV,공연/음악,뮤지컬/오페라,N,2,9,9,,,,
202011,충북,괴산군,칠성면,LINEAR_TV,홈쇼핑,식품,N,9,19,31,5,22,6,
202011,경기,의정부시,신곡2동,LINEAR_TV,홈쇼핑,유아동,N,2,4,,,4,,
202011,경기,안양시 만안구,석수2동,VOD,애니,시리즈,Y,9,128,125,97,63,77,
202011,인천,서구,신현원창동,VOD,키즈,창의학습,N,5,54,,33,71,29,
202011,서울,강남구,도곡1동,LINEAR_TV,영화,SF/환타지,N,9,55,23,15,25,38,
202011,대전,대덕구,법2동,LINEAR_TV,정보,부동산/재테크,N,4,13,30,,6,6,
202011,경기,남양주시,진건읍,LINEAR_TV,라이프,기타,N,30,165,53,47,61,58,
